date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2023-03-01,0.38779822767552835,-2.399622471621622,398,1069,7193,-5.663660477453581
2023-03-02,-0.2791252485089463,-3.5952502175804977,336,670,5969,-5.895498392282958
2023-03-03,0.5271698113207546,-2.281303365991207,388,1202,7717,-5.738440111420614
2023-03-06,0.12184065934065934,-3.2960384243069063,194,534,4257,-6.153723404255319
2023-03-07,0.3333333333333333,-2.6306997990356833,359,1018,7872,-6.0344311377245505
2023-03-08,0.4383029341792229,-2.968053254476687,351,910,6694,-5.3373860182370825
2023-03-10,0.08643263757115738,-2.5994808674734164,306,748,5841,-6.142087542087542
2023-03-13,0.17365853658536587,-3.3725674842571207,171,444,3381,-5.551807228915662
2023-03-14,0.747007042253521,-2.4529182972189063,289,847,6680,-5.48021978021978
2023-03-15,0.49585834333733486,-3.311957841936454,431,1235,10180,-5.619268292682927
2023-03-16,0.516765140324963,-2.714874007754815,352,1002,8511,-5.1020958083832335
2023-03-17,0.5283068783068783,-2.517519189317406,302,832,6747,-5.54006968641115
2023-03-20,0.3721854304635761,-3.3353455913766146,167,437,3788,-5.481578947368422
2023-03-21,0.44903777619387025,-2.6556602197834884,384,1022,8117,-5.649586776859505
2023-03-24,-0.07832310838445819,-2.9227970596207946,610,1346,11533,-5.9521815008726
2023-03-27,0.4508749999999999,-2.769237031598939,211,589,4246,-5.637948717948718
2023-03-28,-0.18899371069182397,-2.965087055556463,570,1338,10781,-6.7756906077348065
2023-03-29,-0.3626607319485658,-2.8122688790540598,643,1379,11496,-6.533777038269551
2023-03-30,0.10986166889781339,-3.001364714234671,671,1570,13246,-6.134858044164038
