date,GDELT地缘政治,价格动量,宏观金融,新闻情感,航运咽喉点
2026-04-07,-0.031551,-0.26815197,-0.010735832,1.2898234e-05,-0.055193923
2026-04-08,-0.028606532,-0.23941359,-0.008111073,1.2898234e-05,-0.059912402
2026-04-09,-0.0071758996,-0.24919537,-0.012609829,1.2898234e-05,-0.009133348
2026-04-10,-0.007242545,-0.2210537,-0.008305043,1.2898234e-05,-0.010243655
2026-04-13,-0.028166726,-0.23222588,-0.00802056,1.2898234e-05,-0.05609862
2026-04-14,-0.007300137,-0.20771728,-0.007566465,0.000113029004,-0.009260154
2026-04-15,-0.0077039246,-0.23905815,-0.012633262,0.000113029004,-0.009110366
2026-04-16,-0.0072334246,-0.24817592,-0.012449912,1.2898234e-05,-0.009133348
2026-04-17,-0.08385625,-0.23193344,-0.007502489,0.000113029004,-0.07141498
2026-04-20,-0.06240798,-0.036004037,-0.010424451,0.000113029004,-0.0037831245
2026-04-21,-0.077575006,-0.0851121,-0.012974078,0.000113029004,-0.066721305
2026-04-22,-0.030029882,-0.23926128,-0.01464973,-0.00015477881,-0.059795626
2026-04-23,-0.029556878,-0.23758304,-0.0141637465,1.2898234e-05,-0.06711194
2026-04-24,-0.0074056047,-0.21406502,-0.012548274,1.2898234e-05,-0.009142928
2026-04-27,-0.0076228473,-0.21313779,-0.016716901,1.2898234e-05,-0.010118701
2026-04-28,-0.0070851757,-0.25579283,-0.017943162,-0.00015477881,-0.009144078
2026-04-29,-0.03103357,-0.26385576,-0.022823144,1.2898234e-05,-0.055022296
2026-04-30,-0.029745542,-0.25973728,-0.023506094,-0.00015477881,-0.059367012
2026-05-01,-0.009116715,-0.25472975,-0.01932638,-0.00015477881,-0.009066196
2026-05-04,-0.0075911144,-0.03954948,-0.026709212,-0.00015477881,-0.010573722
2026-05-05,-0.02421352,-0.03394782,-0.021546138,1.2898234e-05,-0.053019587
2026-05-06,-0.009089891,0.010098905,-0.015412277,1.2898234e-05,-0.01292386
2026-05-07,-0.005535076,0.009213086,-0.0225101,1.2898234e-05,-0.013001723
2026-05-08,-0.0010121091,-0.004177372,-0.021245066,-0.00015477881,-0.035987135
2026-05-11,-0.0049827914,0.00039169472,-0.023344059,-0.00015477881,-0.012956566
2026-05-12,-0.004411407,-0.024466679,-0.02745998,1.2898234e-05,-0.010167955
2026-05-13,0.00020931117,-0.005474558,-0.023426432,-0.0013563482,-0.027758455
2026-05-14,-0.0031492263,-0.013262138,-0.025679935,-0.0013563482,-0.010119134
2026-05-15,-0.005054223,-0.018323632,-0.028921809,-0.00015477881,-0.010513271
